RT ID,10세 미만,10대,20대,30대,40대,50대,60대,70세 이상
R11320T6,18494.0399,24456.6121,35108.1075,37845.0686,41264.765,44285.6584,36884.1567,39079.3561
R11350T6,35661.5978,59043.7895,69396.6676,65284.32,79633.1712,78232.1773,57444.1295,61237.6013
R11380T6,31006.7789,40794.4083,60435.5345,71545.8872,74296.5893,67908.2549,50148.1278,54145.5478
R11410T6,20442.8603,29615.7343,68768.7888,53923.5484,52677.5746,48967.709,33507.3063,36516.6644
R11440T6,24559.6991,32522.7041,79929.6903,77729.8827,70176.9748,53791.1362,34884.4223,35914.3614
R11470T6,30506.9899,48735.1947,43026.7029,51246.8958,66075.5509,56450.8383,38719.2893,38263.0629
R11500T6,41514.393,43523.9742,78195.6444,103868.0498,90492.1123,73135.1654,58147.1946,57853.0263
R11530T6,28389.9581,28951.8564,49480.8968,66008.1813,63492.649,55179.7168,42116.3621,39776.7024
R11545T6,10694.5874,12442.5624,32273.1029,38802.5741,30979,30620.8948,22734.1836,19479.4908
R11560T6,26152.776,26896.1734,61786.1462,82768.0135,68372.3897,58844.8551,42961.2262,39378.396
R11590T6,25796.359,31638.7836,75642.6026,66405.7501,59965.4202,53280.5728,39981.0036,42547.3507
R11620T6,22299.3235,30855.933,120188.7364,95670.9614,69312.8704,59411.1709,43704.7235,46667.7616
R11650T6,40674.3343,49515.3152,56314.8536,73994.9396,92014.2392,71388.0656,46824.4465,45503.8988
R11680T6,50246.9626,75329.0005,85707.159,110452.8176,128184.9298,94361.7632,60131.0936,59618.0934
R11710T6,59890.1329,68924.9423,89452.3195,125330.0598,124098.5369,104400.2336,77369.3402,68574.3621
R11740T6,40810.4029,51019.3435,61465.7468,82206.4306,89313.3447,77246.4633,61629.8621,58333.7603
R11110T7,9505.4325,19865.8329,40288.3987,30892.7197,35486.0943,36382.1317,24960.5375,25230.8769
R11140T7,8166.3012,9567.9747,30631.7431,32279.3884,30368.6611,27704.3276,20202.251,18966.7594
R11170T7,14880.9442,18808.3491,40067.4991,52811.065,46360.2002,38857.2312,26632.4541,25482.8163
