호선,고유역번호(외부역코드),연월,하차인원수,자치구코드,호선역
2,209,202202,154756,111142,한양대(2)
2,210,202202,490712,111142,뚝섬(2)
2,211,202202,838423,111142,성수(2)
2,212,202202,851104,111141,건대입구(2)
2,213,202202,514018,111141,구의(2)
2,214,202202,638923,111141,강변(2)
2,215,202202,285017,111273,잠실나루(2)
2,216,202202,1477610,111273,잠실(2)
2,217,202202,464873,111273,잠실새내(2)
2,218,202202,173400,111273,종합운동장(2)
2,219,202202,1059088,111261,삼성(2)
2,220,202202,975950,111261,선릉(2)
2,221,202202,1120207,111261,역삼(2)
2,222,202202,1776051,111261,강남(2)
2,223,202202,762388,111262,교대(2)
2,224,202202,424874,111262,서초(2)
2,225,202202,350208,111262,방배(2)
2,226,202202,874715,111241,사당(2)
2,227,202202,586050,111251,낙성대(2)
2,228,202202,1040368,111251,서울대입구(2)
2,229,202202,494273,111251,봉천(2)
2,230,202202,1400344,111251,신림(2)
2,231,202202,577219,111241,신대방(2)
2,232,202202,1234711,111221,구로디지털단지(2)
2,233,202202,543741,111221,대림(2)
2,234,202202,1040056,111221,신도림(2)
2,235,202202,449118,111231,문래(2)
2,236,202202,489372,111231,영등포구청(2)
2,237,202202,440238,111231,당산(2)
2,238,202202,725253,111201,합정(2)
2,239,202202,1334659,111201,홍대입구(2)
2,240,202202,745080,111201,신촌(2)
2,241,202202,295673,111201,이대(2)
2,242,202202,212103,111201,아현(2)
2,243,202202,218550,111191,충정로(2)
2,244,202202,64776,111142,용답(2)
2,245,202202,40695,111142,신답(2)
2,246,202202,86099,111152,신설동(2)
2,247,202202,30681,111221,도림천(2)
2,248,202202,154105,111301,양천구청(2)
2,249,202202,229866,111301,신정네거리(2)
2,250,202202,53777,111152,용두(2)
3,310,202202,430677,111181,구파발(3)
3,311,202202,776006,111181,연신내(3)
3,312,202202,390920,111181,불광(3)
3,313,202202,299983,111181,녹번(3)
3,314,202202,364734,111191,홍제(3)
3,315,202202,87910,111191,무악재(3)
3,316,202202,159347,111191,독립문(3)
3,317,202202,422049,111123,경복궁(3)
3,318,202202,431055,111123,안국(3)
3,319,202202,250303,111123,종로3가(3)
3,320,202202,209178,111121,을지로3가(3)
3,322,202202,181003,111121,동대입구(3)
3,323,202202,270419,111121,약수(3)
3,324,202202,167206,111142,금호(3)
3,325,202202,204488,111142,옥수(3)
3,326,202202,744003,111261,압구정(3)
3,327,202202,716252,111261,신사(3)
3,328,202202,99607,111262,잠원(3)
3,329,202202,930741,111262,고속터미널(3)
3,330,202202,181697,111262,교대(3)
3,331,202202,631554,111262,남부터미널(3)
3,332,202202,846593,111262,양재(3)
3,333,202202,242407,111261,매봉(3)
3,334,202202,114211,111261,도곡(3)
3,335,202202,250275,111261,대치(3)
3,336,202202,50901,111261,학여울(3)
3,337,202202,198555,111261,대청(3)
3,338,202202,201849,111261,일원(3)
3,339,202202,384416,111261,수서(3)
3,340,202202,182340,111273,가락시장(3)
3,341,202202,153691,111273,경찰병원(3)
3,342,202202,119355,111273,오금(3)
4,409,202202,265551,111311,당고개(4)
4,410,202202,389833,111311,상계(4)
4,411,202202,470285,111311,노원(4)
4,412,202202,603989,111171,창동(4)
4,413,202202,594031,111171,쌍문(4)
4,414,202202,757705,111291,수유(4)
4,415,202202,317296,111291,미아(4)
4,416,202202,592058,111291,미아사거리(4)
4,417,202202,427937,111161,길음(4)
4,418,202202,430148,111161,성신여대입구(4)
4,419,202202,284339,111161,한성대입구(4)
4,420,202202,715934,111123,혜화(4)
4,421,202202,400956,111123,동대문(4)
4,422,202202,292139,111121,동대문역사문화공원(4)
4,423,202202,531067,111121,충무로(4)
4,424,202202,388747,111121,명동(4)
4,425,202202,498483,111121,회현(4)
4,426,202202,338008,111131,서울역(4)
4,427,202202,267117,111131,숙대입구(4)
4,428,202202,118690,111131,삼각지(4)
4,429,202202,353407,111131,신용산(4)
4,430,202202,183300,111131,이촌(4)
4,431,202202,52087,111241,동작(4)
4,432,202202,444404,111241,이수(4)
4,433,202202,460391,111241,사당(4)
4,434,202202,22225,111262,남태령(4)
5,2511,202202,140197,111212,방화(5)
5,2512,202202,119563,111212,개화산(5)
5,2513,202202,182769,111212,김포공항(5)
5,2514,202202,140896,111212,송정(5)
5,2515,202202,221023,111212,마곡(5)
5,2516,202202,440514,111212,발산(5)
5,2517,202202,305561,111212,우장산(5)
5,2518,202202,585694,111212,화곡(5)
5,2519,202202,623687,111212,까치산(5)
5,2520,202202,250824,111301,신정(5)
5,2521,202202,385215,111301,목동(5)
5,2522,202202,503517,111301,오목교(5)
5,2523,202202,155814,111231,양평(5)
5,2524,202202,87362,111231,영등포구청(5)
5,2525,202202,232020,111231,영등포시장(5)
5,2526,202202,97421,111231,신길(5)
5,2527,202202,578047,111231,여의도(5)
5,2528,202202,218948,111231,여의나루(5)
5,2529,202202,300274,111201,마포(5)
5,2530,202202,290163,111201,공덕(5)
5,2531,202202,142743,111201,애오개(5)
5,2532,202202,94907,111191,충정로(5)
5,2533,202202,365114,111123,서대문(5)
5,2534,202202,592635,111123,광화문(5)
5,2535,202202,273149,111123,종로3가(5)
5,2536,202202,122185,111121,을지로4가(5)
5,2537,202202,65793,111121,동대문역사문화공원(5)
5,2538,202202,79445,111121,청구(5)
5,2539,202202,143337,111142,신금호(5)
5,2540,202202,157635,111142,행당(5)
5,2541,202202,116290,111142,왕십리(5)
5,2542,202202,113136,111142,마장(5)
5,2543,202202,333161,111142,답십리(5)
5,2544,202202,401137,111152,장한평(5)
5,2545,202202,273182,111141,군자(5)
5,2546,202202,322995,111141,아차산(5)
5,2547,202202,265332,111141,광나루(5)
5,2548,202202,405858,111274,천호(5)
5,2549,202202,392341,111274,강동(5)
5,2550,202202,186998,111274,길동(5)
5,2551,202202,200707,111274,굽은다리(5)
5,2552,202202,194390,111274,명일(5)
5,2553,202202,201021,111274,고덕(5)
5,2554,202202,300631,111274,상일동(5)
5,2555,202202,190787,111274,둔촌동(5)
5,2556,202202,77513,111273,올림픽공원(5)
5,2557,202202,161264,111273,방이(5)
5,2558,202202,76027,111273,오금(5)
5,2559,202202,144811,111273,개롱(5)
5,2560,202202,193790,111273,거여(5)
5,2561,202202,151982,111273,마천(5)
5,2562,202202,84370,111274,강일(5)
6,2611,202202,388101,111181,응암(6)
6,2612,202202,101441,111181,역촌(6)
6,2613,202202,94213,111181,불광(6)
6,2614,202202,64932,111181,독바위(6)
