연번,호선,고유역번호(외부역코드),역명,수송연월,하차인원수
273,9,4126,언주,Jan-22,45872
274,9,4127,선정릉,Jan-22,40652
275,9,4128,삼성중앙,Jan-22,30963
276,9,4129,봉은사,Jan-22,74610
277,9,4130,종합운동장(9),Jan-22,16683
278,9,4131,삼전,Jan-22,42627
279,9,4132,석촌고분,Jan-22,34831
280,9,4133,석촌(9),Jan-22,43540
281,9,4134,송파나루,Jan-22,37979
282,9,4135,한성백제,Jan-22,19822
283,9,4136,올림픽공원(9),Jan-22,34406
284,9,4137,둔촌오륜,Jan-22,8098
285,9,4138,중앙보훈병원,Jan-22,48370
286,1,150,서울역(1),Feb-22,860796
287,1,151,시청(1),Feb-22,440144
288,1,152,종각,Feb-22,656218
289,1,153,종로3가(1),Feb-22,510518
290,1,154,종로5가,Feb-22,471706
291,1,155,동대문(1),Feb-22,238236
292,1,156,신설동(1),Feb-22,295113
293,1,157,제기동,Feb-22,372954
294,1,158,청량리,Feb-22,441801
295,1,159,동묘앞(1),Feb-22,215082
296,2,201,시청(2),Feb-22,430487
297,2,202,을지로입구,Feb-22,777615
298,2,203,을지로3가(2),Feb-22,429759
299,2,204,을지로4가(2),Feb-22,255759
300,2,205,동대문역사문화공원(2),Feb-22,301202
301,2,206,신당(2),Feb-22,320347
302,2,207,상왕십리,Feb-22,301970
303,2,208,왕십리(2),Feb-22,297295
304,2,209,한양대,Feb-22,154756
305,2,210,뚝섬,Feb-22,490712
306,2,211,성수,Feb-22,838423
307,2,212,건대입구(2),Feb-22,851104
308,2,213,구의,Feb-22,514018
309,2,214,강변,Feb-22,638923
310,2,215,잠실나루,Feb-22,285017
311,2,216,잠실(2),Feb-22,1477610
312,2,217,잠실새내,Feb-22,464873
313,2,218,종합운동장(2),Feb-22,173400
314,2,219,삼성,Feb-22,1059088
315,2,220,선릉,Feb-22,975950
316,2,221,역삼,Feb-22,1120207
317,2,222,강남,Feb-22,1776051
318,2,223,교대(2),Feb-22,762388
319,2,224,서초,Feb-22,424874
320,2,225,방배,Feb-22,350208
321,2,226,사당(2),Feb-22,874715
322,2,227,낙성대,Feb-22,586050
323,2,228,서울대입구,Feb-22,1040368
324,2,229,봉천,Feb-22,494273
325,2,230,신림,Feb-22,1400344
326,2,231,신대방,Feb-22,577219
327,2,232,구로디지털단지,Feb-22,1234711
328,2,233,대림(2),Feb-22,543741
329,2,234,신도림,Feb-22,1040056
330,2,235,문래,Feb-22,449118
331,2,236,영등포구청(2),Feb-22,489372
332,2,237,당산,Feb-22,440238
333,2,238,합정(2),Feb-22,725253
334,2,239,홍대입구,Feb-22,1334659
335,2,240,신촌,Feb-22,745080
336,2,241,이대,Feb-22,295673
337,2,242,아현,Feb-22,212103
338,2,243,충정로(2),Feb-22,218550
339,2,244,용답,Feb-22,64776
340,2,245,신답,Feb-22,40695
341,2,246,신설동(2),Feb-22,86099
342,2,247,도림천,Feb-22,30681
343,2,248,양천구청,Feb-22,154105
344,2,249,신정네거리,Feb-22,229866
345,2,250,용두,Feb-22,53777
346,3,309,지축,Feb-22,93849
347,3,310,구파발,Feb-22,430677
348,3,311,연신내(3),Feb-22,776006
349,3,312,불광(3),Feb-22,390920
350,3,313,녹번,Feb-22,299983
351,3,314,홍제,Feb-22,364734
352,3,315,무악재,Feb-22,87910
353,3,316,독립문,Feb-22,159347
354,3,317,경복궁,Feb-22,422049
355,3,318,안국,Feb-22,431055
356,3,319,종로3가(3),Feb-22,250303
357,3,320,을지로3가(3),Feb-22,209178
358,3,322,동대입구,Feb-22,181003
359,3,323,약수(3),Feb-22,270419
360,3,324,금호,Feb-22,167206
361,3,325,옥수,Feb-22,204488
362,3,326,압구정,Feb-22,744003
363,3,327,신사,Feb-22,716252
364,3,328,잠원,Feb-22,99607
365,3,329,고속터미널(3),Feb-22,930741
366,3,330,교대(3),Feb-22,181697
367,3,331,남부터미널,Feb-22,631554
368,3,332,양재,Feb-22,846593
369,3,333,매봉,Feb-22,242407
370,3,334,도곡,Feb-22,114211
371,3,335,대치,Feb-22,250275
372,3,336,학여울,Feb-22,50901
373,3,337,대청,Feb-22,198555
374,3,338,일원,Feb-22,201849
375,3,339,수서,Feb-22,384416
376,3,340,가락시장(3),Feb-22,182340
377,3,341,경찰병원,Feb-22,153691
378,3,342,오금(3),Feb-22,119355
379,4,409,당고개,Feb-22,265551
380,4,410,상계,Feb-22,389833
381,4,411,노원(4),Feb-22,470285
382,4,412,창동,Feb-22,603989
383,4,413,쌍문,Feb-22,594031
384,4,414,수유,Feb-22,757705
385,4,415,미아,Feb-22,317296
386,4,416,미아사거리,Feb-22,592058
387,4,417,길음,Feb-22,427937
388,4,418,성신여대입구,Feb-22,430148
389,4,419,한성대입구,Feb-22,284339
390,4,420,혜화,Feb-22,715934
391,4,421,동대문(4),Feb-22,400956
392,4,422,동대문역사문화공원(4),Feb-22,292139
393,4,423,충무로(4),Feb-22,531067
394,4,424,명동,Feb-22,388747
395,4,425,회현,Feb-22,498483
396,4,426,서울역(4),Feb-22,338008
397,4,427,숙대입구,Feb-22,267117
398,4,428,삼각지(4),Feb-22,118690
399,4,429,신용산,Feb-22,353407
400,4,430,이촌,Feb-22,183300
401,4,431,동작,Feb-22,52087
402,4,432,이수(총신대입구),Feb-22,444404
403,4,433,사당(4),Feb-22,460391
404,4,434,남태령,Feb-22,22225
405,5,2511,방화,Feb-22,140197
406,5,2512,개화산,Feb-22,119563
407,5,2513,김포공항(5),Feb-22,182769
408,5,2514,송정,Feb-22,140896
409,5,2515,마곡,Feb-22,221023
410,5,2516,발산,Feb-22,440514
411,5,2517,우장산,Feb-22,305561
412,5,2518,화곡,Feb-22,585694
413,5,2519,까치산(5),Feb-22,623687
414,5,2520,신정,Feb-22,250824
415,5,2521,목동,Feb-22,385215
416,5,2522,오목교,Feb-22,503517
417,5,2523,양평(5),Feb-22,155814
418,5,2524,영등포구청(5),Feb-22,87362
419,5,2525,영등포시장,Feb-22,232020
420,5,2526,신길(5),Feb-22,97421
421,5,2527,여의도(5),Feb-22,578047
422,5,2528,여의나루,Feb-22,218948
423,5,2529,마포,Feb-22,300274
424,5,2530,공덕(5),Feb-22,290163
425,5,2531,애오개,Feb-22,142743
426,5,2532,충정로(5),Feb-22,94907
427,5,2533,서대문,Feb-22,365114
428,5,2534,광화문,Feb-22,592635
429,5,2535,종로3가(5),Feb-22,273149
430,5,2536,을지로4가(5),Feb-22,122185
431,5,2537,동대문역사문화공원(5),Feb-22,65793
432,5,2538,청구(5),Feb-22,79445
433,5,2539,신금호,Feb-22,143337
434,5,2540,행당,Feb-22,157635
435,5,2541,왕십리(5),Feb-22,116290
436,5,2542,마장,Feb-22,113136
437,5,2543,답십리,Feb-22,333161
438,5,2544,장한평,Feb-22,401137
439,5,2545,군자(5),Feb-22,273182
440,5,2546,아차산,Feb-22,322995
441,5,2547,광나루,Feb-22,265332
442,5,2548,천호(5),Feb-22,405858
443,5,2549,강동,Feb-22,392341
444,5,2550,길동,Feb-22,186998
445,5,2551,굽은다리,Feb-22,200707
446,5,2552,명일,Feb-22,194390
447,5,2553,고덕,Feb-22,201021
448,5,2554,상일동,Feb-22,300631
449,5,2555,둔촌동,Feb-22,190787
450,5,2556,올림픽공원(5),Feb-22,77513
451,5,2557,방이,Feb-22,161264
452,5,2558,오금(5),Feb-22,76027
453,5,2559,개롱,Feb-22,144811
454,5,2560,거여,Feb-22,193790
455,5,2561,마천,Feb-22,151982
456,5,2562,강일,Feb-22,84370
457,5,2563,미사,Feb-22,349904
458,5,2564,하남풍산,Feb-22,91285
459,5,2565,하남시청,Feb-22,142662
460,5,2566,하남검단산,Feb-22,127954
461,6,2611,응암,Feb-22,388101
462,6,2612,역촌,Feb-22,101441
463,6,2613,불광(6),Feb-22,94213
464,6,2614,독바위,Feb-22,64932
465,6,2616,구산,Feb-22,127746
466,6,2617,새절,Feb-22,260179
467,6,2618,증산,Feb-22,223567
468,6,2619,디지털미디어시티(6),Feb-22,306134
469,6,2620,월드컵경기장,Feb-22,97998
470,6,2621,마포구청,Feb-22,286314
471,6,2622,망원,Feb-22,346966
472,6,2623,합정(6),Feb-22,284537
473,6,2624,상수,Feb-22,216936
474,6,2625,광흥창,Feb-22,184453
475,6,2626,대흥,Feb-22,177080
476,6,2627,공덕(6),Feb-22,360597
477,6,2628,효창공원앞,Feb-22,136004
478,6,2629,삼각지(6),Feb-22,116391
479,6,2630,녹사평,Feb-22,106976
480,6,2631,이태원,Feb-22,237266
481,6,2632,한강진,Feb-22,217268
482,6,2633,버티고개,Feb-22,45805
483,6,2634,약수(6),Feb-22,77734
484,6,2635,청구(6),Feb-22,85542
485,6,2636,신당(6),Feb-22,184286
486,6,2637,동묘앞(6),Feb-22,184831
487,6,2638,창신,Feb-22,60016
488,6,2639,보문,Feb-22,149617
489,6,2640,안암,Feb-22,215127
490,6,2641,고려대,Feb-22,168651
491,6,2642,월곡,Feb-22,245476
492,6,2643,상월곡,Feb-22,120788
493,6,2644,돌곶이,Feb-22,192072
494,6,2645,석계(6),Feb-22,277135
495,6,2646,태릉입구(6),Feb-22,130673
496,6,2647,화랑대,Feb-22,197476
497,6,2648,봉화산,Feb-22,182130
498,7,2711,장암,Feb-22,21504
499,7,2712,도봉산(7),Feb-22,235932
500,7,2713,수락산,Feb-22,277991
501,7,2714,마들,Feb-22,269204
502,7,2715,노원(7),Feb-22,455431
503,7,2716,중계,Feb-22,276007
504,7,2717,하계,Feb-22,357550
505,7,2718,공릉,Feb-22,263981
506,7,2719,태릉입구(7),Feb-22,178146
507,7,2720,먹골,Feb-22,225006
508,7,2721,중화,Feb-22,235011
509,7,2722,상봉(7),Feb-22,353711
510,7,2723,면목,Feb-22,333616
511,7,2724,사가정,Feb-22,357308
512,7,2725,용마산,Feb-22,133573
513,7,2726,중곡,Feb-22,223959
514,7,2727,군자(7),Feb-22,268301
515,7,2728,어린이대공원,Feb-22,277433
516,7,2729,건대입구(7),Feb-22,286218
517,7,2730,뚝섬유원지,Feb-22,164320
518,7,2731,청담,Feb-22,442304
519,7,2732,강남구청,Feb-22,375360
520,7,2733,학동,Feb-22,511361
521,7,2734,논현,Feb-22,454229
522,7,2735,반포,Feb-22,120684
523,7,2736,고속터미널(7),Feb-22,288628
524,7,2737,내방,Feb-22,308945
525,7,2738,이수(7),Feb-22,336092
526,7,2739,남성,Feb-22,227842
527,7,2740,숭실대입구,Feb-22,257721
528,7,2741,상도,Feb-22,224353
529,7,2742,장승배기,Feb-22,199409
530,7,2743,신대방삼거리,Feb-22,350300
531,7,2744,보라매,Feb-22,206285
532,7,2745,신풍,Feb-22,245519
533,7,2746,대림(7),Feb-22,184911
534,7,2747,남구로,Feb-22,350956
535,7,2748,가산디지털단지(7),Feb-22,878386
536,7,2749,철산,Feb-22,457858
537,7,2750,광명사거리,Feb-22,484584
538,7,2751,천왕,Feb-22,229551
539,7,2752,온수(7),Feb-22,199122
540,8,2811,암사,Feb-22,367140
541,8,2812,천호(8),Feb-22,383927
542,8,2813,강동구청,Feb-22,232965
543,8,2814,몽촌토성,Feb-22,134081
544,8,2815,잠실(8),Feb-22,370861
545,8,2816,석촌(8),Feb-22,200861
546,8,2817,송파,Feb-22,164651
547,8,2818,가락시장(8),Feb-22,179229
548,8,2819,문정,Feb-22,458992
549,8,2820,장지,Feb-22,361713
550,8,2821,복정(8),Feb-22,172456
551,8,2822,산성,Feb-22,116044
552,8,2823,남한산성입구,Feb-22,267959
553,8,2824,단대오거리,Feb-22,225369
554,8,2825,신흥,Feb-22,105592
555,8,2826,수진,Feb-22,110245
556,8,2827,모란(8),Feb-22,83701
557,8,2828,남위례,Feb-22,95066
558,9,4126,언주,Feb-22,38833
559,9,4127,선정릉,Feb-22,34655
560,9,4128,삼성중앙,Feb-22,26940
561,9,4129,봉은사,Feb-22,63552
562,9,4130,종합운동장(9),Feb-22,14534
563,9,4131,삼전,Feb-22,37848
564,9,4132,석촌고분,Feb-22,30717
565,9,4133,석촌(9),Feb-22,38256
566,9,4134,송파나루,Feb-22,33290
567,9,4135,한성백제,Feb-22,17351
568,9,4136,올림픽공원(9),Feb-22,28893
569,9,4137,둔촌오륜,Feb-22,7458
570,9,4138,중앙보훈병원,Feb-22,42486
571,1,150,서울역(1),Mar-22,954476
572,1,151,시청(1),Mar-22,506303
573,1,152,종각,Mar-22,736862
574,1,153,종로3가(1),Mar-22,568693
575,1,154,종로5가,Mar-22,546946
576,1,155,동대문(1),Mar-22,274331
577,1,156,신설동(1),Mar-22,336238
578,1,157,제기동,Mar-22,442927
579,1,158,청량리,Mar-22,511722
580,1,159,동묘앞(1),Mar-22,252935
581,2,201,시청(2),Mar-22,477591
582,2,202,을지로입구,Mar-22,878261
583,2,203,을지로3가(2),Mar-22,486250
584,2,204,을지로4가(2),Mar-22,296395
585,2,205,동대문역사문화공원(2),Mar-22,363742
586,2,206,신당(2),Mar-22,358846
587,2,207,상왕십리,Mar-22,338194
588,2,208,왕십리(2),Mar-22,348240
589,2,209,한양대,Mar-22,364526
590,2,210,뚝섬,Mar-22,551470
591,2,211,성수,Mar-22,946293
592,2,212,건대입구(2),Mar-22,985481
593,2,213,구의,Mar-22,574046
594,2,214,강변,Mar-22,699213
595,2,215,잠실나루,Mar-22,321446
596,2,216,잠실(2),Mar-22,1612184
597,2,217,잠실새내,Mar-22,516682
598,2,218,종합운동장(2),Mar-22,252564
599,2,219,삼성,Mar-22,1158528
600,2,220,선릉,Mar-22,1101877
601,2,221,역삼,Mar-22,1235894
602,2,222,강남,Mar-22,1927331
603,2,223,교대(2),Mar-22,864723
604,2,224,서초,Mar-22,473278
605,2,225,방배,Mar-22,459718
606,2,226,사당(2),Mar-22,991362
607,2,227,낙성대,Mar-22,671955
608,2,228,서울대입구,Mar-22,1194557
609,2,229,봉천,Mar-22,547911
610,2,230,신림,Mar-22,1555097
611,2,231,신대방,Mar-22,648224
612,2,232,구로디지털단지,Mar-22,1375610
613,2,233,대림(2),Mar-22,612935
614,2,234,신도림,Mar-22,1172064
615,2,235,문래,Mar-22,516426
616,2,236,영등포구청(2),Mar-22,547992
617,2,237,당산,Mar-22,512823
618,2,238,합정(2),Mar-22,814320
619,2,239,홍대입구,Mar-22,1499018
620,2,240,신촌,Mar-22,849484
621,2,241,이대,Mar-22,367979
622,2,242,아현,Mar-22,249071
623,2,243,충정로(2),Mar-22,246686
624,2,244,용답,Mar-22,91807
625,2,245,신답,Mar-22,46071
626,2,246,신설동(2),Mar-22,95249
627,2,247,도림천,Mar-22,35946
628,2,248,양천구청,Mar-22,172505
629,2,249,신정네거리,Mar-22,258055
630,2,250,용두,Mar-22,61927
631,3,309,지축,Mar-22,111533
632,3,310,구파발,Mar-22,491319
633,3,311,연신내(3),Mar-22,876936
634,3,312,불광(3),Mar-22,439137
635,3,313,녹번,Mar-22,342684
636,3,314,홍제,Mar-22,418558
637,3,315,무악재,Mar-22,98364
638,3,316,독립문,Mar-22,186935
639,3,317,경복궁,Mar-22,499359
640,3,318,안국,Mar-22,504806
641,3,319,종로3가(3),Mar-22,276931
642,3,320,을지로3가(3),Mar-22,234648
643,3,322,동대입구,Mar-22,232599
644,3,323,약수(3),Mar-22,308905
645,3,324,금호,Mar-22,184126
646,3,325,옥수,Mar-22,229228
647,3,326,압구정,Mar-22,798880
648,3,327,신사,Mar-22,778056
649,3,328,잠원,Mar-22,113107
650,3,329,고속터미널(3),Mar-22,1007250
651,3,330,교대(3),Mar-22,209512
652,3,331,남부터미널,Mar-22,695395
653,3,332,양재,Mar-22,948860
654,3,333,매봉,Mar-22,266997
655,3,334,도곡,Mar-22,129258
656,3,335,대치,Mar-22,271810
657,3,336,학여울,Mar-22,66051
658,3,337,대청,Mar-22,222857
659,3,338,일원,Mar-22,229971
660,3,339,수서,Mar-22,428944
661,3,340,가락시장(3),Mar-22,208922
662,3,341,경찰병원,Mar-22,170011
663,3,342,오금(3),Mar-22,135008
664,4,409,당고개,Mar-22,273822
665,4,410,상계,Mar-22,448361
666,4,411,노원(4),Mar-22,537473
667,4,412,창동,Mar-22,686912
668,4,413,쌍문,Mar-22,671116
669,4,414,수유,Mar-22,858304
670,4,415,미아,Mar-22,373239
671,4,416,미아사거리,Mar-22,669348
672,4,417,길음,Mar-22,504545
673,4,418,성신여대입구,Mar-22,510742
674,4,419,한성대입구,Mar-22,339013
675,4,420,혜화,Mar-22,810776
676,4,421,동대문(4),Mar-22,484222
677,4,422,동대문역사문화공원(4),Mar-22,339455
678,4,423,충무로(4),Mar-22,659434
679,4,424,명동,Mar-22,472688
