객체id,현황도형 관리번호,도형 대분류코드,도형 중분류코드,도형 소분류코드,도형 속성코드,도형 조서관리 코드,결정고시관리코드,라벨명,시군구코드,도면번호,현황도형 생성일시,면적(도형),길이(도형)
173714,11000UQ111PS201912154939,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,11119.59971,710.958687
173715,11000UQ111PS201912154505,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,39710.73298,1247.18122
173716,11000UQ111PS201912154506,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,23291.77706,901.3788616
173717,11000UQ111PS201912154509,UQA100,UQA120,UQA122,UQA122,11000ARZ201208142820,11000NTC201012235780,제2종일반주거지역(12층이하),11000, ,00:00.0,63246.74546,1226.795542
173718,11000UQ111PS201912154316,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,16995.70778,690.3455892
173719,11000UQ111PS201912154319,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,9104.717174,391.4807156
173720,11000UQ111PS201912154320,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,1420.674036,163.9347741
173721,11000UQ111PS201912154325,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,184.477025,92.63978785
173722,11000UQ111PS201912154326,UQA100,UQA120,UQA122,UQA122,11000ARZ201005282566,11000NTC201005114902,제2종일반주거지역,11000, ,00:00.0,157253.9572,4463.905929
173723,11000UQ111PS201912154327,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,22041.29764,751.0431098
173724,11000UQ111PS201912152089,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,30379.20613,867.2450002
173725,11000UQ111PS201912152091,UQA100,UQA120,UQA122,UQA122,11000ARZ000000001111, ,제2종일반주거지역,11000, ,00:00.0,18099.76841,813.3801142
